title;released;gf_score;metascore;genre;description;cover_art_url;graphics_pal;music_pal;gameplay_pal;total_pal;notes_pal_ntsc_j;name_variants;score_reasoning;description_es
Master of Monsters;1991;3.83;n/a;Strategy - General;Master of Monsters is a turn-based strategy game developed by SystemSoft for the MSX and NEC PC8801. It was later ported to a variety of consoles and PCs including the PC Engine, NEC PC9801, Sega Mega Drive (Genesis), Sega Saturn and PlayStation. While it never garnered the same success as its SystemSoft stablemate Daisenryaku, the game garnered a loyal following. Its success in the North American market on the Sega Genesis proved sufficient for a sequel on the Sega Saturn, and an anime art-style enhanced PlayStation version titled Disciples of Gaia with a Japanese role-playing game feel.;https://images.launchbox-app.com/aee75504-b04a-4ef7-8f9f-a1ac20dc6c11.jpg;7;6;7;7;Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Master of Monsters;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Master of Monsters es un juego de estrategia por turnos con criaturas fantásticas. El jugador controla un invocador, conquista territorios, mejora sus unidades y combate en mapas de casillas contra ejércitos rivales.
Vectorman 2;1996-11-15;3.83;n/a;Action - Platformer - 2D;"Vectorman is a series of run and gun platform games developed by BlueSky Software and published by Sega for the Sega Mega Drive/Genesis. The first game in the series was released on October 24, 1995 in North America and on November 30, 1995 in Europe. The games have since appeared on several game compilations, including the Sega Genesis Collection for the PlayStation 2 and PlayStation Portable, the Sonic Gems Collection for the Nintendo GameCube, and Sonic's Ultimate Genesis Collection for Xbox 360 and PlayStation 3. Vectorman was added to the Wii Virtual Console on February 27, 2007, in Japan and April 5, 2007, in Europe, and in North America on September 22, 2008. It was also released on the digital distribution service Steam as part of the ""SEGA Genesis Classics Pack"" and as a standalone title. Vectorman was ported to iOS and Android in 2018 as part of the Sega Forever service.";https://images.launchbox-app.com/d521a80c-f655-426e-a1c2-0c4f58a5ed81.jpg;8;7;7;7;Secuela sólida con más transformaciones y niveles, pero menos sorprendente y memorable que el original. Mantiene una buena presentación y acción directa.;Vectorman 2;Gráficos: buen uso de los recursos gráficos de Mega Drive. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Secuela sólida con más transformaciones y niveles, pero menos sorprendente y memorable que el original. Mantiene una buena presentación y acción directa.;Vectorman 2 continúa el plataformas de acción del robot formado por esferas. Añade nuevas transformaciones, enemigos y escenarios, aunque conserva una estructura más tradicional y menos sorprendente que la del primer juego.
Tiny Toon Adventures: Buster's Hidden Treasure;1993;3.83;n/a;Action - Platformer - 2D;Tiny Toon Adventures: Buster's Hidden Treasure is the first Tiny Toon Adventures-based game released on the Mega Drive/Genesis. It was released in 1993 and developed and published by Konami;https://images.launchbox-app.com/23ffaae7-c0b8-41e6-abd2-1e5695080bad.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Tiny Toon Adventures: Buster's Hidden Treasure;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Tiny Toon Adventures: Buster's Hidden Treasure es un plataformas de Konami protagonizado por Buster Bunny. Recorre mundos inspirados en la serie, combina saltos, ataques, vehículos y rutas alternativas con una presentación colorida.
Trouble Shooter;1991;3.83;n/a;Action - Shooter - Shoot-'Em-Up - Horizontal;Trouble Shooter, originally released in Japan as Battle Mania (バトルマニア), is a scrolling shooter developed and published by Vic Tokai for the Mega Drive/Genesis in 1991. The game was given a very distinct theme of self-parody between the enemies, story and dialogue. A sequel titled Battle Mania Daiginjō (バトルマニア 大吟醸) was also released for the Mega Drive in Japan and Korea only.;https://images.launchbox-app.com/39af166f-342b-47b1-af02-668226a55387.jpg;7;7;7;7;Shooter horizontal simpático de estética anime y tono humorístico. Tiene buena personalidad, aunque menos intensidad y variedad que los grandes referentes del género.;Trouble Shooter;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Shooter horizontal simpático de estética anime y tono humorístico. Tiene buena personalidad, aunque menos intensidad y variedad que los grandes referentes del género.;Trouble Shooter, conocido en Japón como Battle Mania, es un shooter horizontal de estética anime. Sus dos protagonistas combaten oleadas de enemigos con armamento mejorable y un tono humorístico y autoparódico.
General Chaos;1994-01-13;3.82;n/a;Action - General;General Chaos is a 1993 video game developed by Game Refuge Inc. and published by Electronic Arts for the Sega Genesis. General Chaos is a satirical arcade/strategy game;https://images.launchbox-app.com/3249deec-fc90-4423-8f7c-2fe0b3ab2c73.jpg;7;7;8;7;Mezcla de estrategia y acción con escuadrones pequeños, mapas rápidos y mucho humor. La interfaz requiere adaptación, pero el multijugador es excelente.;General Chaos;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Mezcla de estrategia y acción con escuadrones pequeños, mapas rápidos y mucho humor. La interfaz requiere adaptación, pero el multijugador es excelente.;General Chaos mezcla acción y estrategia en partidas de ritmo rápido. El jugador dirige pequeños escuadrones con soldados de distintas clases, captura objetivos y combate contra el ejército rival en campañas y multijugador.
NHLPA Hockey 93;1992;3.82;n/a;Sports - Team - Ice Hockey - Sim;NHLPA Hockey '93 is a Sega Genesis and Super Nintendo Entertainment System ice hockey game developed by Park Place Productions and published by Electronic Arts Sports Network. It is the second installment of the NHL series and the first to be released for the Super NES. Although considered to be the second EA Sports NHL game, the game was not licensed by the NHL, however it did receive licensing permission from the NHLPA. Because of this all teams are referred to only by city with no use of the team name itself. Additionally, no NHL team logos or NHL emblems are seen anywhere in the game.;https://images.launchbox-app.com/4c1b56dd-624f-468c-b750-0392df3a8ab6.jpg;7;6;7;7;Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;NHLPA Hockey 93;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;NHLPA Hockey 93 es un juego de hockey sobre hielo de EA Sports. Incluye jugadores reales gracias a la licencia de la NHLPA, aunque los equipos se identifican por ciudades y carecen de nombres y emblemas oficiales de la NHL.
Panorama Cotton;1994-08-12;3.82;n/a;Action - Shooter - Shoot-'Em-Up - Vertical;"Panorama Cotton (パノラマコットン Panoramakotton) is a 1994 rail shooter video game developed by Success and published by Sunsoft for the Sega Mega Drive exclusively in Japan on August 12, 1994. Panorama Cotton is the third entry in the Cotton series and made a major departure from the original gameplay formula of prior Cotton entries; instead of being a side-scrolling shooter like the others, it was a pseudo-3D shooter in the style of Sega's classic arcade hit Space Harrier. Stylistically, it also stands out for having lost the melancholy undertones that the other games have; instead, it simply strives to be uniquely psychedelic. An unofficial English translation patch was released in 2019";https://images.launchbox-app.com/f58a73db-5508-45b1-b491-8204124a19a4.png;9;8;7;8;Shooter sobre raíles muy llamativo, con efectos pseudo-3D y estética psicodélica. El control y la dificultad son menos precisos que en los shooters bidimensionales.;Panorama Cotton;Gráficos: apartado visual sobresaliente para la plataforma. Música: banda sonora sólida y bien integrada. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Shooter sobre raíles muy llamativo, con efectos pseudo-3D y estética psicodélica. El control y la dificultad son menos precisos que en los shooters bidimensionales.;Panorama Cotton es un shooter sobre raíles de estética fantástica y psicodélica. A diferencia de las entregas tradicionales de la serie, utiliza una perspectiva pseudo-3D inspirada en Space Harrier y fue exclusivo de Japón.
Rolling Thunder 3;1993;3.82;n/a;Action - Platformer - 2D;Rolling Thunder 3 is a 1993 run and gun video game published by Namco released for the Sega Genesis. It is a sequel to Rolling Thunder 2. The game was made specifically for home consoles, unlike the previous two games in the series. Also unlike its predecessors, Rolling Thunder 3 was released only in North America.;https://images.launchbox-app.com/c616d343-aa8a-44dd-9cca-e8d6cd7bbb28.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Rolling Thunder 3;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Rolling Thunder 3 es un juego de acción y disparos de desplazamiento lateral creado para consolas domésticas. El agente Jay y su compañera deben infiltrarse en instalaciones enemigas, usando coberturas, armas y plataformas.
Surging Aura;1995-03-17;3.82;n/a; Role-Playing - Japanese-Style;Surging Aura (サージングオーラ) is a 1995 Sega Mega Drive RPG by Sega with art by Japanese illustrator Mutsumi Inomata.;https://images.launchbox-app.com/ed8a7787-7be1-4e29-a3cd-c559aded5d66.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Surging Aura;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Surging Aura es un RPG japonés de Sega con ilustraciones de Mutsumi Inomata. Combina exploración, narrativa y combates, y fue una producción tardía de Mega Drive publicada únicamente en Japón.
Kid Chameleon;1992-05-28;3.82;n/a;Action - Platformer - 2D;"Kid Chameleon is a 1992 platform game released for the Sega Genesis. The plot of the game is that the boss of the new virtual reality video game ""Wild Side"" begins abducting players and the main character, Casey, goes to beat it and rescue them. He does this by using masks to change into different characters in order to use different abilities. It was later released in Japan as Chameleon Kid (カメレオン キッド Kamereon Kiddo). After its initial release in 1992 for the Genesis, it was later re-released a number of times in the 2000s, including part of the Sega Smash Pack 2 for the PC in 2000, the Sega Genesis Collection for the PlayStation Portable and PlayStation 2 in 2006, as a digital release on the Wii's Virtual Console in 2007, Sonic's Ultimate Genesis Collection for Xbox 360 and PlayStation 3 in 2009 and is included in The Sega Forever collection release for iOS and Android (operating system) in 2017";https://images.launchbox-app.com/10de7a60-8758-4c6c-8690-9b138afda3b1.jpg;8;7;7;7;Plataformas enorme con máscaras que cambian las habilidades. Su variedad es enorme, pero el diseño irregular, los niveles largos y la dificultad lo hacen menos pulido que Sonic.;Kid Chameleon;Gráficos: buen uso de los recursos gráficos de Mega Drive. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Plataformas enorme con máscaras que cambian las habilidades. Su variedad es enorme, pero el diseño irregular, los niveles largos y la dificultad lo hacen menos pulido que Sonic.;Kid Chameleon es un plataformas muy extenso protagonizado por Casey, atrapado en un juego de realidad virtual. Las máscaras le transforman en personajes con poderes distintos, lo que aporta mucha variedad a sus numerosas rutas y niveles.
Sports Talk Baseball;1992;3.81;n/a;Sports - Team - Baseball - Arcade;Sports Talk Baseball, released in Japan as Pro Yakyuu Super League '91 (プロ野球スーパーリーグ'９１), is a Mega Drive/Genesis baseball video game which features an official MLBPA license as well as most rules and aspects followed by Major League Baseball.;https://images.launchbox-app.com/1dfea7ce-6e8f-454d-a181-56c4b150f5cb.jpg;7;6;7;7;Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Sports Talk Baseball;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Sports Talk Baseball es un juego de béisbol para Mega Drive con licencia de la asociación de jugadores de la MLB. Incluye una presentación deportiva notable para la época y reglas inspiradas en el béisbol profesional.
Ayrton Senna's Super Monaco GP II;1992-07-16;3.81;n/a;Racing - Simulation - Automobile;"Ayrton Senna's Super Monaco GP II is an arcade-style Formula One racing video game developed and manufactured by Sega, and the follow-up to Super Monaco GP. The game was released for the Sega Master System, Sega Mega Drive, and the Sega Game Gear, appearing in the United States on 16 July 1992, Japan on 17 July 1992, and sometime later in 1992 in Europe. Along with boasting the most ""realistic physics"", it was the best received console driving game at the time of release. The game was also endorsed by, and had technical input from, the then Formula One champion Ayrton Senna, who won the race more times than any other driver, with six victories, and five races consecutively between 1989 and 1993. The game's development was also assisted by Senna, who supplied his own advice about the tracks featured in the game.";https://images.launchbox-app.com/01e2c97c-3e5a-4130-ba29-a25ca5c960ca.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Ayrton Senna's Super Monaco GP II;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Ayrton Senna's Super Monaco GP II es un juego de carreras de Fórmula 1 con apoyo técnico del piloto brasileño. Combina carreras arcade, trazadas exigentes y un modo de práctica diseñado alrededor de los consejos de Senna.
Elemental Master;1993;3.81;n/a;Action - Shooter - Shoot-'Em-Up - Vertical;Elemental Master is a top down shoot 'em up video game developed by TechnoSoft for the Sega Mega Drive and released in 1990 in Japan, and in 1993 in North America by Renovation Products.;https://images.launchbox-app.com/4cfaf9dd-35e4-4a9a-9ed3-9e0a496b6a92.jpg;8;8;8;8;Shooter cenital de Technosoft con hechizos, ambientación oscura y gran música. El control es preciso, aunque la dificultad exige memorizar enemigos y patrones.;Elemental Master;Gráficos: buen uso de los recursos gráficos de Mega Drive. Música: banda sonora sólida y bien integrada. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Shooter cenital de Technosoft con hechizos, ambientación oscura y gran música. El control es preciso, aunque la dificultad exige memorizar enemigos y patrones.;Elemental Master es un shooter cenital de Technosoft protagonizado por un hechicero. El jugador usa distintos conjuros elementales contra ejércitos y criaturas fantásticas, con una ambientación oscura y una banda sonora muy destacada.
Rolling Thunder 2;1991-11-18;3.81;n/a;Action - Platformer - 2D;Rolling Thunder 2 (ローリングサンダー2 Rōringu Sandā Tsū) is a run and gun arcade game developed and released by Namco for the Namco System 2 hardware in 1990. The game is the sequel to 1986's Rolling Thunder, retaining the same gameplay of its predecessor but adding cooperative gameplay for two players and improved graphics. Unlike the original, which was based in 1968, Rolling Thunder 2 features a more contemporary setting to go along with its more futuristic design, as well as an optionally playable female character. A port for the Mega Drive/Genesis was released in 1991. Both the Mega Drive port and the original arcade game were released for the Wii Virtual Console on December 4, 2007 and October 27, 2009 respectively.;https://images.launchbox-app.com/3e7e6b3c-417f-4630-b2eb-0528733dd5e5.jpg;7;7;7;7;Conversión clásica de arcade con cooperativo y ambientación de espionaje. Su sistema de coberturas es sólido, aunque resulta rígido frente a juegos de acción posteriores.;Rolling Thunder 2;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Conversión clásica de arcade con cooperativo y ambientación de espionaje. Su sistema de coberturas es sólido, aunque resulta rígido frente a juegos de acción posteriores.;Rolling Thunder 2 es un juego de acción y disparos con cobertura lateral, adaptación del arcade de Namco. Añade cooperativo, una agente femenina seleccionable y una ambientación de espionaje más contemporánea.
Sagaia;1991;3.81;n/a;Action - Shooter - Shoot-'Em-Up - Horizontal;Darius II (ダライアスII Daraiasu Tsū) is a 1989 arcade video game developed by Taito. It is the direct sequel to the 1987 Darius. It was later released as Sagaia (サーガイア Sāgaia) in Japan in 1991 for the Game Boy as well as non-Japanese ports. A remake was released for the PC Engine Super CD-ROM² as Super Darius II (スーパーダライアスII Sūpā Daraiasu Tsū) in 1993.;https://images.launchbox-app.com/5840ee40-9edc-4eb4-bd12-6992f6bcd6e2.jpg;7;8;7;7;Shooter horizontal de Taito con peces mecánicos y ambientación muy característica. Mantiene el desafío y las rutas, pero es lento y está pensado para aficionados al género.;Sagaia;Gráficos: presentación competente, aunque con limitaciones visibles. Música: banda sonora sólida y bien integrada. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Shooter horizontal de Taito con peces mecánicos y ambientación muy característica. Mantiene el desafío y las rutas, pero es lento y está pensado para aficionados al género.;Sagaia es la versión de Mega Drive de Darius II, un shooter horizontal de Taito. Enfrenta al jugador a naves y enormes peces mecánicos, con rutas, jefes memorables y una dificultad dirigida a aficionados al género.
Tougi-Ou: King Colossus;1992-06-26;3.81;n/a;Role-Playing - Action RPG;Tōgi Ō: King Colossus (闘技王とうざおう キング コロッサス) is a video game released in 1992 by Sega for the Mega Drive. The game was never localized outside Japan, however, a fan translation patch was released in 2006 which patches the ROM and makes the game playable in the English language.;https://images.launchbox-app.com/a87072b4-b77f-4e73-9074-4907523c8e7b.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Tougi-Ou: King Colossus;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Tougi-Ou: King Colossus es un RPG de acción de Sega lanzado solo en Japón. Presenta exploración, combates y una ambientación de fantasía, y puede jugarse en inglés mediante traducciones realizadas por aficionados.
Sparkster: Rocket Knight Adventures 2;1994;3.81;n/a;Action - Platformer - 2D;"Sparkster: Rocket Knight Adventures 2, known simply as Sparkster in North America and Europe, is a 1994 side-scrolling platform game developed and published by Konami for the Sega Genesis as the sequel to Rocket Knight Adventures.
Sparkster: Rocket Knight Adventures 2 is the second game in the Sparkster series. Another game under the same title, Sparkster, but without the Rocket Knight Adventures subtitle and not continuing the plot of the first game, was released on the SNES. A follow up game is Rocket Knight.";https://images.launchbox-app.com/2969c1c2-2865-4542-80cd-d563d89b8664.jpg;8;8;7;8;Secuela competente, colorida y con buen control, pero menos imaginativa y variada que Rocket Knight Adventures. No alcanza el mismo impacto del original.;Sparkster: Rocket Knight Adventures 2;Gráficos: buen uso de los recursos gráficos de Mega Drive. Música: banda sonora sólida y bien integrada. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Secuela competente, colorida y con buen control, pero menos imaginativa y variada que Rocket Knight Adventures. No alcanza el mismo impacto del original.;Sparkster: Rocket Knight Adventures 2 es la secuela de Rocket Knight Adventures para Mega Drive. Mantiene la espada, la mochila propulsora y el plataformas de acción, con una aventura más lineal y menos variada que la original.
Jungle Strike;1993-12-16;3.81;n/a;Action - Shooter - Shoot-'Em-Up - Top-Down;Jungle Strike (subtitle 'The Sequel to Desert Strike', or 'Desert Strike part II' in Japan) is a video game developed and published by Electronic Arts in 1993 for the Sega Genesis/Mega Drive. The game was later released on several other consoles such as the Super Nintendo Entertainment System (SNES), and an upgraded version was made for the Amiga. The Amiga and other home computer conversions were the responsibility of Ocean Software while the SNES version was that of Gremlin Interactive. It is the direct sequel to Desert Strike (a best-seller released the previous year) and is the second installment in the Strike series. The game is a helicopter-based shoot 'em up, mixing action and strategy. The plot concerns two villains intent on destroying Washington, D.C.. The player must use the helicopter and occasionally other vehicles to thwart their plans;https://images.launchbox-app.com/5256562e-a007-421d-adb8-37623235f81e.jpg;9;8;9;9;Acción estratégica sobresaliente: helicópteros, otros vehículos, objetivos múltiples y gestión de recursos. Exige planificar, pero ofrece una campaña extensa y muy variada.;Jungle Strike;Gráficos: apartado visual sobresaliente para la plataforma. Música: banda sonora sólida y bien integrada. Jugabilidad: control preciso, respuesta inmediata y diseño muy bien ajustado. Motivo global: Acción estratégica sobresaliente: helicópteros, otros vehículos, objetivos múltiples y gestión de recursos. Exige planificar, pero ofrece una campaña extensa y muy variada.;Jungle Strike es un juego de acción estratégica con helicópteros, vehículos terrestres y múltiples objetivos por misión. El jugador debe gestionar combustible y munición mientras rescata rehenes y destruye instalaciones enemigas.
RoboCop Versus The Terminator;1994-05-19;3.8;n/a;Action - Platformer - 2D;RoboCop Versus The Terminator is a video game released for a number of platforms and is based on the RoboCop and Terminator franchises. The Mega Drive/Genesis version, which was the original lead development of the game and was programmed by Virgin Games USA making use of David Perry's Mega Drive/Genesis engine, is loosely based on the 1992 four-issue comic book mini-series of the same name.;https://images.launchbox-app.com/1fb5da39-59ff-41a6-92f5-af253cf37b23.jpg;8;7;7;7;Acción lateral muy violenta, con armas y una presentación ambiciosa. Es exigente y algo pesado en el control, pero tiene una atmósfera muy lograda para seguidores de las licencias.;RoboCop Versus The Terminator;Gráficos: buen uso de los recursos gráficos de Mega Drive. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Acción lateral muy violenta, con armas y una presentación ambiciosa. Es exigente y algo pesado en el control, pero tiene una atmósfera muy lograda para seguidores de las licencias.;RoboCop Versus The Terminator es un juego de acción lateral basado en el cruce entre ambas franquicias. RoboCop utiliza armas variadas para combatir soldados, máquinas y terminators en escenarios violentos y muy exigentes.
Gauntlet IV;1993-09-16;3.8;n/a;Action - General;Gauntlet is a fantasy-themed hack and slash 1985 arcade game by Atari Games. It is noted as being one of the first multi-player dungeon crawl arcade games. The core design of Gauntlet comes from Dandy, a 1983 Atari 8-bit family title, which resulted in a lawsuit. The arcade version of Gauntlet was released in November 1985 and was initially available only as a dedicated 4-player cabinet. A total of 7,848 units were distributed. Atari later released a 2-player cabinet variant in June 1986, aimed at operators who could not afford or did not have sufficient space for the 4-player version;https://images.launchbox-app.com/08f2fc79-3ef6-4dcc-94a5-862d1d7482ba.jpg;8;7;8;8;"Versión doméstica extensa, con aventura, mapas amplios y cooperativo. A dos jugadores gana mucho; en solitario puede resultar lenta y repetitiva.";Gauntlet IV;"Gráficos: buen uso de los recursos gráficos de Mega Drive. Música: música funcional, con algunos temas reconocibles. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Versión doméstica extensa, con aventura, mapas amplios y cooperativo. A dos jugadores gana mucho; en solitario puede resultar lenta y repetitiva.";Gauntlet IV es una aventura de mazmorras basada en el clásico arcade. Incluye campaña extensa, mapas, personajes con habilidades diferenciadas y cooperativo para varios jugadores, con exploración y acción de fantasía.
X-Men 2: Clone Wars;1995;3.79;n/a;Action - Platformer - 2D;X-Men 2: Clone Wars is a 1995 platform game developed by Headgames and released by Sega of America for the Mega Drive/Genesis as a sequel to the 1993's X-Men. The game is based on the adventures of the Marvel Comics superhero team, the X-Men. X-Men 2 was praised by critics and won retrospective acclaim as one of the best games on the platform. A sequel, titled X-Women, was cancelled.;https://images.launchbox-app.com/67a27e3b-f105-4fd1-89cb-78a2197a4405.jpg;8;8;8;8;Acción de mutantes con personajes diferenciados, grandes sprites y cooperativo. Su dificultad y ciertos problemas de visibilidad dividen opiniones, pero es muy apreciado por muchos seguidores.;X-Men 2: Clone Wars;Gráficos: buen uso de los recursos gráficos de Mega Drive. Música: banda sonora sólida y bien integrada. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Acción de mutantes con personajes diferenciados, grandes sprites y cooperativo. Su dificultad y ciertos problemas de visibilidad dividen opiniones, pero es muy apreciado por muchos seguidores.;X-Men 2: Clone Wars es un juego de acción y plataformas protagonizado por varios miembros de los X-Men. Cada mutante posee poderes propios y el juego propone fases de ritmo rápido, escenarios amplios y cooperativo.
Disney's Aladdin;1993-11-11;3.79;n/a;Action - Platformer - 2D;Disney's Aladdin is a platform game based on the 1992 film of the same name developed by Virgin Games and Disney Software. The game was released by Sega for the Sega Genesis on November 11, 1993 as one of several games based on the film, including another game that was released in the same month by Capcom for the Super NES. The game is one of the best-selling Genesis games with four million copies sold. It also received a number of adapted ports for other platforms, such as the NES, Game Boy, Amiga, and DOS computers;https://images.launchbox-app.com/61c40353-fece-4d6e-a2fa-532d5549794e.jpg;10;8;8;9;Título notable, con buenas ideas y una realización muy competente para Mega Drive.;Disney's Aladdin;Gráficos: apartado visual sobresaliente para la plataforma. Música: banda sonora sólida y bien integrada. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Título notable, con buenas ideas y una realización muy competente para Mega Drive.;Disney's Aladdin es un plataformas basado en la película animada de Disney. Aladdín salta, lucha con espada y lanza manzanas a través de escenarios inspirados en Agrabah, con animación dibujada a mano y gran colorido.
Mutant League Hockey;1994;3.78;n/a;Sports - Team - Ice Hockey - Arcade;Mutant League Hockey is a hockey game that was released in 1994 for the Sega Genesis. This video game is a spin-off of Mutant League Football and features several of the same team names and players as well as new ones;https://images.launchbox-app.com/5d6fb247-0ecb-4bee-87c4-5743f7a31e26.jpg;8;7;8;8;Hockey arcade de culto con monstruos, trampas y reglas disparatadas. La respuesta es ágil y el multijugador es excelente, aunque no busca profundidad de simulación.;Mutant League Hockey;Gráficos: buen uso de los recursos gráficos de Mega Drive. Música: música funcional, con algunos temas reconocibles. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Hockey arcade de culto con monstruos, trampas y reglas disparatadas. La respuesta es ágil y el multijugador es excelente, aunque no busca profundidad de simulación.;Mutant League Hockey es un juego de hockey arcade ambientado en una liga de monstruos. Introduce golpes, trampas, reglas exageradas y equipos formados por mutantes, esqueletos y otras criaturas.
Chiki Chiki Boys;1993;3.78;n/a;Action - Platformer - 2D;Mega Twins, also known as Chiki Chiki Boys (チキチキボーイズ Chiki Chiki Bōizu) in Japan, is a side-scrolling action game released for the arcades by Capcom in 1990. It was the tenth game released for the CP System hardware.;https://images.launchbox-app.com/2f5ca555-db30-47b1-881b-71b057b2f1a2.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Chiki Chiki Boys;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Chiki Chiki Boys, conocido como Mega Twins en otras regiones, es un plataformas de acción de Capcom. Dos hermanos atraviesan mundos de fantasía, luchan con espadas y recogen mejoras en una conversión de recreativa.
Gley Lancer;2008-07-21;3.78;n/a;Action - Shooter - Shoot-'Em-Up - Horizontal;Gley Lancer is a 1992 scrolling shooter video game developed and published by Masaya for the Sega Mega Drive.;https://images.launchbox-app.com/3e287cc6-3ed0-4288-9656-6e119ba15868.jpg;8;8;8;8;Shooter horizontal de culto con estética anime, armas configurables y satélites en distintas formaciones. Fue exclusivo japonés en su lanzamiento original y ha ganado prestigio con los años.;Gley Lancer;Gráficos: buen uso de los recursos gráficos de Mega Drive. Música: banda sonora sólida y bien integrada. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Shooter horizontal de culto con estética anime, armas configurables y satélites en distintas formaciones. Fue exclusivo japonés en su lanzamiento original y ha ganado prestigio con los años.;Gley Lancer es un shooter horizontal de Masaya con estética anime. La piloto Lucia debe abrirse paso entre flotas enemigas con armas y satélites configurables, eligiendo distintas formaciones de apoyo durante la acción.
